,a_node,b_node,capacity,free_flow_time,a,b,direction,link_id
0,137,139,1400,0.27948533333333336,0.6,3,1,1
1,139,137,1400,0.27948533333333336,0.6,3,1,2
2,276,277,1400,0.8063826666666666,0.6,3,1,3
3,277,276,1400,0.8063826666666666,0.6,3,1,4
4,1099,130,1400,0.26199333333333336,0.6,3,1,5
5,130,1099,1400,0.26199333333333336,0.6,3,1,6
6,2418,2417,1400,0.267888,0.6,3,1,7
7,2417,2418,1400,0.267888,0.6,3,1,8
8,2466,2467,1400,0.12126666666666666,0.6,3,1,9
9,2467,2466,1400,0.12126666666666666,0.6,3,1,10
10,1221,3420,4000,0.44064184615384616,0.6,3,1,11
11,3420,1221,4000,0.44064184615384616,0.6,3,1,12
12,3434,3436,1400,0.44273066666666666,0.6,3,1,13
13,3436,3434,1400,0.44273066666666666,0.6,3,1,14
14,5004,4996,1400,0.13402533333333333,0.6,3,1,15
15,4996,5004,1400,0.13402533333333333,0.6,3,1,16
16,2782,4850,1400,0.27069733333333335,0.6,3,1,17
17,4850,2782,1400,0.27069733333333335,0.6,3,1,18
18,5464,5465,6600,0.19317733333333334,0.6,3,1,19
19,5464,5466,6600,0.13751933333333333,0.6,3,1,20
20,5600,5592,4000,0.039866769230769226,0.6,3,1,21
21,5591,5600,4000,0.03625569230769231,0.6,3,1,22
22,5473,5056,4000,0.031189846153846155,0.6,3,1,23
23,5056,2564,4000,0.027132,0.6,3,1,24
24,6053,6068,6600,0.5975273333333333,0.6,3,1,25
25,5498,5471,6600,0.33934333333333333,0.6,3,1,26
26,6133,5500,1400,0.10515999999999999,0.6,3,1,27
27,6153,5467,6600,0.7148113333333334,0.6,3,1,28
28,121,5592,4000,0.03575446153846154,0.6,3,1,29
29,5592,121,4000,0.03575446153846154,0.6,3,1,30
30,5039,6391,1400,0.18797733333333333,0.6,3,1,31
31,6391,5039,1400,0.18797733333333333,0.6,3,1,32
32,6531,6133,1400,0.10514133333333332,0.6,3,1,33
33,277,5471,6600,0.20636200000000002,0.6,3,1,34
34,2564,10000068,99999,6.065556,0.6,3,1,35
35,10000068,2564,99999,6.065556,0.6,3,1,36
36,2565,10000068,99999,6.60198,0.6,3,1,37
37,10000068,2565,99999,6.60198,0.6,3,1,38
38,2566,10000068,99999,6.1764,0.6,3,1,39
39,10000068,2566,99999,6.1764,0.6,3,1,40
40,2567,10000068,99999,7.4199,0.6,3,1,41
41,10000068,2567,99999,7.4199,0.6,3,1,42
42,2568,10000068,99999,8.001864,0.6,3,1,43
43,10000068,2568,99999,8.001864,0.6,3,1,44
44,2569,10000068,99999,9.326928,0.6,3,1,45
45,10000068,2569,99999,9.326928,0.6,3,1,46
46,4072,10000068,99999,7.091928,0.6,3,1,47
47,10000068,4072,99999,7.091928,0.6,3,1,48
48,4073,10000068,99999,7.258584000000001,0.6,3,1,49
49,10000068,4073,99999,7.258584000000001,0.6,3,1,50
50,4074,10000068,99999,6.641664,0.6,3,1,51
51,10000068,4074,99999,6.641664,0.6,3,1,52
52,5069,10000068,99999,7.999751999999999,0.6,3,1,53
53,10000068,5069,99999,7.999751999999999,0.6,3,1,54
54,5070,10000068,99999,10.110288,0.6,3,1,55
55,10000068,5070,99999,10.110288,0.6,3,1,56
56,5464,10000068,99999,8.317704,0.6,3,1,57
57,10000068,5464,99999,8.317704,0.6,3,1,58
58,5471,10000068,99999,7.954212,0.6,3,1,59
59,10000068,5471,99999,7.954212,0.6,3,1,60
60,5472,10000068,99999,6.425172,0.6,3,1,61
61,10000068,5472,99999,6.425172,0.6,3,1,62
62,5473,10000068,99999,6.057888,0.6,3,1,63
63,10000068,5473,99999,6.057888,0.6,3,1,64
64,5823,10000068,99999,9.747539999999999,0.6,3,1,65
65,10000068,5823,99999,9.747539999999999,0.6,3,1,66
66,5826,10000068,99999,6.332267999999999,0.6,3,1,67
67,10000068,5826,99999,6.332267999999999,0.6,3,1,68
68,5982,10000068,99999,9.572832,0.6,3,1,69
69,10000068,5982,99999,9.572832,0.6,3,1,70
70,5983,10000068,99999,9.378192,0.6,3,1,71
71,10000068,5983,99999,9.378192,0.6,3,1,72
72,6133,10000068,99999,4.325748,0.6,3,1,73
73,10000068,6133,99999,4.325748,0.6,3,1,74
74,6134,10000068,99999,6.906132,0.6,3,1,75
75,10000068,6134,99999,6.906132,0.6,3,1,76
76,2466,10000077,99999,6.419124,0.6,3,1,77
77,10000077,2466,99999,6.419124,0.6,3,1,78
78,2469,10000077,99999,7.934016000000001,0.6,3,1,79
79,10000077,2469,99999,7.934016000000001,0.6,3,1,80
80,3434,10000077,99999,7.765716,0.6,3,1,81
81,10000077,3434,99999,7.765716,0.6,3,1,82
82,3435,10000077,99999,8.933556,0.6,3,1,83
83,10000077,3435,99999,8.933556,0.6,3,1,84
84,4251,10000077,99999,9.45054,0.6,3,1,85
85,10000077,4251,99999,9.45054,0.6,3,1,86
86,5000,10000077,99999,8.956475999999999,0.6,3,1,87
87,10000077,5000,99999,8.956475999999999,0.6,3,1,88
